Nation,Total_Value_Num
England,1520000000
France,1230000000
Portugal,1050000000
Brazil,943000000
Spain,902000000
Argentina,856000000
Germany,775000000
Italy,757000000
Netherlands,610000000
Belgium,486000000
Uruguay,400000000
Colombia,315000000
Morocco,305000000
Senegal,288000000
Denmark,284000000
Croatia,278000000
Ivory Coast,266000000
USA,260000000
United States,260000000
Nigeria,254000000
Serbia,250000000
Ukraine,240000000
Turkey,230000000
Austria,225000000
Switzerland,220000000
Japan,210000000
Mexico,205000000
Ecuador,190000000
Scotland,185000000
South Korea,180000000
Ghana,175000000
Mali,165000000
Algeria,160000000
Poland,150000000
Cameroon,140000000
Canada,135000000
Wales,130000000
Egypt,120000000
Czech Republic,115000000
Hungary,110000000
Paraguay,105000000
Sweden,100000000
Chile,95000000
Guinea,90000000
Bosnia and Herzegovina,85000000
Romania,80000000
Slovakia,75000000
Peru,70000000
Venezuela,65000000
Iran,60000000
Australia,55000000
Saudi Arabia,50000000
Tunisia,45000000
Greece,40000000
DR Congo,35000000
South Africa,30000000
Costa Rica,25000000
Panama,20000000
Jamaica,18000000
Bolivia,15000000
Qatar,12000000
New Zealand,10000000
Honduras,8000000
El Salvador,5000000
